"REF_DATE","GEO","DGUID","Selected livestock","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1921","Ontario","2016A000235","Total pigs","Average number","Number","223","units","0","v62727780","7.8.3","10","","","","0"
"1921","Ontario","2016A000235","Total sheep","Number of farms reporting","Number","223","units","0","v62727790","7.12.1","41771","","","","0"
"1921","Ontario","2016A000235","Total sheep","Number of animals","Number","223","units","0","v62727791","7.12.2","978892","","","","0"
"1921","Ontario","2016A000235","Total sheep","Average number","Number","223","units","0","v62727792","7.12.3","23","","","","0"
"1921","Ontario","2016A000235","Horses and ponies","Number of farms reporting","Number","223","units","0","v62727802","7.16.1","172030","","","","0"
"1921","Ontario","2016A000235","Horses and ponies","Number of animals","Number","223","units","0","v62727803","7.16.2","669048","","","","0"
"1921","Ontario","2016A000235","Horses and ponies","Average number","Number","223","units","0","v62727804","7.16.3","4","","","","0"
"1921","Ontario","2016A000235","Total hens and chickens","Number of animals","Number","223","units","0","v62727830","7.25.2","15526517","","","","0"
"1921","Ontario","2016A000235","Total hens and chickens","Average number","Number","223","units","0","v62727831","7.25.3","","..","","","0"
"1921","Manitoba","2016A000246","Total cattle","Number of animals","Number","223","units","0","v62727836","8.1.2","645925","","","","0"
"1921","Manitoba","2016A000246","Total cattle","Average number","Number","223","units","0","v62727837","8.1.3","","..","","","0"
"1921","Manitoba","2016A000246","Total pigs","Number of farms reporting","Number","223","units","0","v62727856","8.8.1","34080","","","","0"
"1921","Manitoba","2016A000246","Total pigs","Number of animals","Number","223","units","0","v62727857","8.8.2","200167","","","","0"
"1921","Manitoba","2016A000246","Total pigs","Average number","Number","223","units","0","v62727858","8.8.3","6","","","","0"
"1921","Manitoba","2016A000246","Total sheep","Number of farms reporting","Number","223","units","0","v62727868","8.12.1","6984","","","","0"
"1921","Manitoba","2016A000246","Total sheep","Number of animals","Number","223","units","0","v62727869","8.12.2","112788","","","","0"
"1921","Manitoba","2016A000246","Total sheep","Average number","Number","223","units","0","v62727870","8.12.3","16","","","","0"
"1921","Manitoba","2016A000246","Horses and ponies","Number of farms reporting","Number","223","units","0","v62727880","8.16.1","46448","","","","0"
"1921","Manitoba","2016A000246","Horses and ponies","Number of animals","Number","223","units","0","v62727881","8.16.2","355747","","","","0"
"1921","Manitoba","2016A000246","Horses and ponies","Average number","Number","223","units","0","v62727882","8.16.3","8","","","","0"
"1921","Manitoba","2016A000246","Total hens and chickens","Number of animals","Number","223","units","0","v62727908","8.25.2","3227499","","","","0"
"1921","Manitoba","2016A000246","Total hens and chickens","Average number","Number","223","units","0","v62727909","8.25.3","","..","","","0"
"1921","Saskatchewan","2016A000247","Total cattle","Number of animals","Number","223","units","0","v62727914","9.1.2","1295910","","","","0"
"1921","Saskatchewan","2016A000247","Total cattle","Average number","Number","223","units","0","v62727915","9.1.3","","..","","","0"
"1921","Saskatchewan","2016A000247","Total pigs","Number of farms reporting","Number","223","units","0","v62727934","9.8.1","66583","","","","0"
"1921","Saskatchewan","2016A000247","Total pigs","Number of animals","Number","223","units","0","v62727935","9.8.2","419709","","","","0"
"1921","Saskatchewan","2016A000247","Total pigs","Average number","Number","223","units","0","v62727936","9.8.3","6","","","","0"
"1921","Saskatchewan","2016A000247","Total sheep","Number of farms reporting","Number","223","units","0","v62727946","9.12.1","4128","","","","0"
"1921","Saskatchewan","2016A000247","Total sheep","Number of animals","Number","223","units","0","v62727947","9.12.2","194660","","","","0"
"1921","Saskatchewan","2016A000247","Total sheep","Average number","Number","223","units","0","v62727948","9.12.3","47","","","","0"
"1921","Saskatchewan","2016A000247","Horses and ponies","Number of farms reporting","Number","223","units","0","v62727958","9.16.1","108002","","","","0"
"1921","Saskatchewan","2016A000247","Horses and ponies","Number of animals","Number","223","units","0","v62727959","9.16.2","1077882","","","","0"
