"REF_DATE","GEO","DGUID","Estimates","Livestock","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1925","Canada","2016A000011124","Total slaughterings, farm and meat production","Sheep and lambs","Head","148","thousands","3","v62141","1.5.2","1139.0","","","","1"
"1925","Canada","2016A000011124","Inspected slaughterings","Hogs","Head","148","thousands","3","v61844","1.6.1","2640.2","","","","1"
"1925","Canada","2016A000011124","Inspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62142","1.6.2","498.5","","","","1"
"1925","Canada","2016A000011124","Uninspected slaughterings","Hogs","Head","148","thousands","3","v61845","1.7.1","1970.5","","","","1"
"1925","Canada","2016A000011124","Uninspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62143","1.7.2","640.5","","","","1"
"1925","Canada","2016A000011124","Imported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62138","1.11.2","4.4","","","","1"
"1925","Canada","2016A000011124","Total supply","Sheep and lambs","Head","148","thousands","3","v62139","1.12.2","1179.4","","","","1"
"1926","Canada","2016A000011124","Estimated farm output","Hogs","Head","148","thousands","3","v61841","1.3.1","4535.0","","","","1"
"1926","Canada","2016A000011124","Estimated farm output","Sheep and lambs","Head","148","thousands","3","v62137","1.3.2","1164.0","","","","1"
"1926","Canada","2016A000011124","Exported alive, farm production","Hogs","Head","148","thousands","3","v61842","1.4.1","86.0","","","","1"
"1926","Canada","2016A000011124","Exported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62140","1.4.2","21.8","","","","1"
"1926","Canada","2016A000011124","Total slaughterings, farm and meat production","Hogs","Head","148","thousands","3","v61843","1.5.1","4449.0","","","","1"
"1926","Canada","2016A000011124","Total slaughterings, farm and meat production","Sheep and lambs","Head","148","thousands","3","v62141","1.5.2","1144.8","","","","1"
"1926","Canada","2016A000011124","Inspected slaughterings","Hogs","Head","148","thousands","3","v61844","1.6.1","2485.3","","","","1"
"1926","Canada","2016A000011124","Inspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62142","1.6.2","550.1","","","","1"
"1926","Canada","2016A000011124","Uninspected slaughterings","Hogs","Head","148","thousands","3","v61845","1.7.1","1963.7","","","","1"
"1926","Canada","2016A000011124","Uninspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62143","1.7.2","594.7","","","","1"
"1926","Canada","2016A000011124","Imported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62138","1.11.2","2.6","","","","1"
"1926","Canada","2016A000011124","Total supply","Sheep and lambs","Head","148","thousands","3","v62139","1.12.2","1166.6","","","","1"
"1927","Canada","2016A000011124","Estimated farm output","Hogs","Head","148","thousands","3","v61841","1.3.1","4668.0","","","","1"
"1927","Canada","2016A000011124","Estimated farm output","Sheep and lambs","Head","148","thousands","3","v62137","1.3.2","1278.0","","","","1"
"1927","Canada","2016A000011124","Exported alive, farm production","Hogs","Head","148","thousands","3","v61842","1.4.1","197.1","","","","1"
"1927","Canada","2016A000011124","Exported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62140","1.4.2","20.1","","","","1"
"1927","Canada","2016A000011124","Total slaughterings, farm and meat production","Hogs","Head","148","thousands","3","v61843","1.5.1","4470.9","","","","1"
"1927","Canada","2016A000011124","Total slaughterings, farm and meat production","Sheep and lambs","Head","148","thousands","3","v62141","1.5.2","1259.8","","","","1"
"1927","Canada","2016A000011124","Inspected slaughterings","Hogs","Head","148","thousands","3","v61844","1.6.1","2540.0","","","","1"
"1927","Canada","2016A000011124","Inspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62142","1.6.2","617.5","","","","1"
"1927","Canada","2016A000011124","Uninspected slaughterings","Hogs","Head","148","thousands","3","v61845","1.7.1","1930.9","","","","1"
"1927","Canada","2016A000011124","Uninspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62143","1.7.2","642.3","","","","1"
"1927","Canada","2016A000011124","Imported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62138","1.11.2","1.9","","","","1"
"1927","Canada","2016A000011124","Total supply","Sheep and lambs","Head","148","thousands","3","v62139","1.12.2","1279.9","","","","1"
"1928","Canada","2016A000011124","Estimated farm output","Hogs","Head","148","thousands","3","v61841","1.3.1","4595.0","","","","1"
"1928","Canada","2016A000011124","Estimated farm output","Sheep and lambs","Head","148","thousands","3","v62137","1.3.2","1300.0","","","","1"
"1928","Canada","2016A000011124","Exported alive, farm production","Hogs","Head","148","thousands","3","v61842","1.4.1","23.3","","","","1"
"1928","Canada","2016A000011124","Exported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62140","1.4.2","11.5","","","","1"
"1928","Canada","2016A000011124","Total slaughterings, farm and meat production","Hogs","Head","148","thousands","3","v61843","1.5.1","4571.7","","","","1"
"1928","Canada","2016A000011124","Total slaughterings, farm and meat production","Sheep and lambs","Head","148","thousands","3","v62141","1.5.2","1290.4","","","","1"
"1928","Canada","2016A000011124","Inspected slaughterings","Hogs","Head","148","thousands","3","v61844","1.6.1","2537.9","","","","1"
"1928","Canada","2016A000011124","Inspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62142","1.6.2","634.5","","","","1"
"1928","Canada","2016A000011124","Uninspected slaughterings","Hogs","Head","148","thousands","3","v61845","1.7.1","2033.8","","","","1"
"1928","Canada","2016A000011124","Uninspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62143","1.7.2","655.9","","","","1"
"1928","Canada","2016A000011124","Imported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62138","1.11.2","1.9","","","","1"
"1928","Canada","2016A000011124","Total supply","Sheep and lambs","Head","148","thousands","3","v62139","1.12.2","1301.9","","","","1"
"1929","Canada","2016A000011124","Estimated farm output","Hogs","Head","148","thousands","3","v61841","1.3.1","4380.0","","","","1"
"1929","Canada","2016A000011124","Estimated farm output","Sheep and lambs","Head","148","thousands","3","v62137","1.3.2","1398.0","","","","1"
"1929","Canada","2016A000011124","Exported alive, farm production","Hogs","Head","148","thousands","3","v61842","1.4.1","3.9","","","","1"
"1929","Canada","2016A000011124","Exported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62140","1.4.2","11.1","","","","1"
"1929","Canada","2016A000011124","Total slaughterings, farm and meat production","Hogs","Head","148","thousands","3","v61843","1.5.1","4376.1","","","","1"
"1929","Canada","2016A000011124","Total slaughterings, farm and meat production","Sheep and lambs","Head","148","thousands","3","v62141","1.5.2","1387.1","","","","1"
"1929","Canada","2016A000011124","Inspected slaughterings","Hogs","Head","148","thousands","3","v61844","1.6.1","2360.7","","","","1"
"1929","Canada","2016A000011124","Inspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62142","1.6.2","767.2","","","","1"
"1929","Canada","2016A000011124","Uninspected slaughterings","Hogs","Head","148","thousands","3","v61845","1.7.1","2015.4","","","","1"
"1929","Canada","2016A000011124","Uninspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62143","1.7.2","619.9","","","","1"
"1929","Canada","2016A000011124","Imported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62138","1.11.2","0.2","","","","1"
"1929","Canada","2016A000011124","Total supply","Sheep and lambs","Head","148","thousands","3","v62139","1.12.2","1398.2","","","","1"
"1930","Canada","2016A000011124","Estimated farm output","Hogs","Head","148","thousands","3","v61841","1.3.1","3975.8","","","","1"
"1930","Canada","2016A000011124","Estimated farm output","Sheep and lambs","Head","148","thousands","3","v62137","1.3.2","1440.2","","","","1"
"1930","Canada","2016A000011124","Exported alive, farm production","Hogs","Head","148","thousands","3","v61842","1.4.1","2.3","","","","1"
"1930","Canada","2016A000011124","Exported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62140","1.4.2","2.9","","","","1"
"1930","Canada","2016A000011124","Total slaughterings, farm and meat production","Hogs","Head","148","thousands","3","v61843","1.5.1","3973.5","","","","1"
"1930","Canada","2016A000011124","Total slaughterings, farm and meat production","Sheep and lambs","Head","148","thousands","3","v62141","1.5.2","1438.3","","","","1"
"1930","Canada","2016A000011124","Inspected slaughterings","Hogs","Head","148","thousands","3","v61844","1.6.1","1929.4","","","","1"
"1930","Canada","2016A000011124","Inspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62142","1.6.2","748.2","","","","1"
"1930","Canada","2016A000011124","Uninspected slaughterings","Hogs","Head","148","thousands","3","v61845","1.7.1","2044.1","","","","1"
"1930","Canada","2016A000011124","Uninspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62143","1.7.2","690.1","","","","1"
"1930","Canada","2016A000011124","Imported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62138","1.11.2","1.0","","","","1"
"1930","Canada","2016A000011124","Total supply","Sheep and lambs","Head","148","thousands","3","v62139","1.12.2","1441.2","","","","1"
"1931","Canada","2016A000011124","Estimated farm output","Hogs","Head","148","thousands","3","v61841","1.3.1","4185.0","","","","1"
"1931","Canada","2016A000011124","Estimated farm output","Sheep and lambs","Head","148","thousands","3","v62137","1.3.2","1513.0","","","","1"
"1931","Canada","2016A000011124","Exported alive, farm production","Hogs","Head","148","thousands","3","v61842","1.4.1","3.9","","","","1"
"1931","Canada","2016A000011124","Exported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62140","1.4.2","2.0","","","","1"
"1931","Canada","2016A000011124","Total slaughterings, farm and meat production","Hogs","Head","148","thousands","3","v61843","1.5.1","4181.1","","","","1"
"1931","Canada","2016A000011124","Total slaughterings, farm and meat production","Sheep and lambs","Head","148","thousands","3","v62141","1.5.2","1511.0","","","","1"
"1931","Canada","2016A000011124","Inspected slaughterings","Hogs","Head","148","thousands","3","v61844","1.6.1","2250.9","","","","1"
"1931","Canada","2016A000011124","Inspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62142","1.6.2","822.2","","","","1"
"1931","Canada","2016A000011124","Uninspected slaughterings","Hogs","Head","148","thousands","3","v61845","1.7.1","1930.2","","","","1"
"1931","Canada","2016A000011124","Uninspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62143","1.7.2","688.8","","","","1"
"1931","Canada","2016A000011124","Imported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62138","1.11.2","0.0","","","","1"
"1931","Canada","2016A000011124","Total supply","Sheep and lambs","Head","148","thousands","3","v62139","1.12.2","1513.0","","","","1"
"1932","Canada","2016A000011124","Estimated farm output","Hogs","Head","148","thousands","3","v61841","1.3.1","4705.0","","","","1"
"1932","Canada","2016A000011124","Estimated farm output","Sheep and lambs","Head","148","thousands","3","v62137","1.3.2","1461.0","","","","1"
"1932","Canada","2016A000011124","Exported alive, farm production","Hogs","Head","148","thousands","3","v61842","1.4.1","5.6","","","","1"
"1932","Canada","2016A000011124","Exported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62140","1.4.2","1.6","","","","1"
"1932","Canada","2016A000011124","Total slaughterings, farm and meat production","Hogs","Head","148","thousands","3","v61843","1.5.1","4699.4","","","","1"
"1932","Canada","2016A000011124","Total slaughterings, farm and meat production","Sheep and lambs","Head","148","thousands","3","v62141","1.5.2","1459.4","","","","1"
"1932","Canada","2016A000011124","Inspected slaughterings","Hogs","Head","148","thousands","3","v61844","1.6.1","2725.6","","","","1"
"1932","Canada","2016A000011124","Inspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62142","1.6.2","789.6","","","","1"
"1932","Canada","2016A000011124","Uninspected slaughterings","Hogs","Head","148","thousands","3","v61845","1.7.1","1973.8","","","","1"
"1932","Canada","2016A000011124","Uninspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62143","1.7.2","669.8","","","","1"
"1932","Canada","2016A000011124","Imported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62138","1.11.2","0.0","","","","1"
"1932","Canada","2016A000011124","Total supply","Sheep and lambs","Head","148","thousands","3","v62139","1.12.2","1461.0","","","","1"
"1933","Canada","2016A000011124","Estimated farm output","Hogs","Head","148","thousands","3","v61841","1.3.1","4700.0","","","","1"
"1933","Canada","2016A000011124","Estimated farm output","Sheep and lambs","Head","148","thousands","3","v62137","1.3.2","1549.0","","","","1"
"1933","Canada","2016A000011124","Exported alive, farm production","Hogs","Head","148","thousands","3","v61842","1.4.1","6.0","","","","1"
"1933","Canada","2016A000011124","Exported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62140","1.4.2","1.9","","","","1"
"1933","Canada","2016A000011124","Total slaughterings, farm and meat production","Hogs","Head","148","thousands","3","v61843","1.5.1","4694.0","","","","1"
"1933","Canada","2016A000011124","Total slaughterings, farm and meat production","Sheep and lambs","Head","148","thousands","3","v62141","1.5.2","1547.1","","","","1"
"1933","Canada","2016A000011124","Inspected slaughterings","Hogs","Head","148","thousands","3","v61844","1.6.1","2806.3","","","","1"
"1933","Canada","2016A000011124","Inspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62142","1.6.2","864.2","","","","1"
"1933","Canada","2016A000011124","Uninspected slaughterings","Hogs","Head","148","thousands","3","v61845","1.7.1","1887.7","","","","1"
"1933","Canada","2016A000011124","Uninspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62143","1.7.2","682.9","","","","1"
"1933","Canada","2016A000011124","Imported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62138","1.11.2","0.0","","","","1"
"1933","Canada","2016A000011124","Total supply","Sheep and lambs","Head","148","thousands","3","v62139","1.12.2","1549.0","","","","1"
"1934","Canada","2016A000011124","Estimated farm output","Hogs","Head","148","thousands","3","v61841","1.3.1","4630.0","","","","1"
"1934","Canada","2016A000011124","Estimated farm output","Sheep and lambs","Head","148","thousands","3","v62137","1.3.2","1538.0","","","","1"
"1934","Canada","2016A000011124","Exported alive, farm production","Hogs","Head","148","thousands","3","v61842","1.4.1","4.6","","","","1"
"1934","Canada","2016A000011124","Exported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62140","1.4.2","2.1","","","","1"
"1934","Canada","2016A000011124","Total slaughterings, farm and meat production","Hogs","Head","148","thousands","3","v61843","1.5.1","4625.4","","","","1"
"1934","Canada","2016A000011124","Total slaughterings, farm and meat production","Sheep and lambs","Head","148","thousands","3","v62141","1.5.2","1535.9","","","","1"
"1934","Canada","2016A000011124","Inspected slaughterings","Hogs","Head","148","thousands","3","v61844","1.6.1","2874.6","","","","1"
"1934","Canada","2016A000011124","Inspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62142","1.6.2","854.9","","","","1"
"1934","Canada","2016A000011124","Uninspected slaughterings","Hogs","Head","148","thousands","3","v61845","1.7.1","1750.8","","","","1"
"1934","Canada","2016A000011124","Uninspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62143","1.7.2","681.0","","","","1"
"1934","Canada","2016A000011124","Imported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62138","1.11.2","0.0","","","","1"
"1934","Canada","2016A000011124","Total supply","Sheep and lambs","Head","148","thousands","3","v62139","1.12.2","1538.0","","","","1"
"1935","Canada","2016A000011124","Estimated farm output","Hogs","Head","148","thousands","3","v61841","1.3.1","4719.5","","","","1"
"1935","Canada","2016A000011124","Estimated farm output","Sheep and lambs","Head","148","thousands","3","v62137","1.3.2","1613.1","","","","1"
"1935","Canada","2016A000011124","Exported alive, farm production","Hogs","Head","148","thousands","3","v61842","1.4.1","19.4","","","","1"
